Year,Deaths
2018,43098
2019,43248
2020,44578
2021,45955
1950,36021
1951,36450
1952,37189
1953,37639
1954,38025
1955,38305
1956,38432
1957,38451
1958,38188
1959,37586
1960,36901
1961,35930
1962,34996
1963,34447
1964,33373
1965,32428
1966,31237
1967,30011
1968,28581
1969,27200
1970,25916
1971,24735
1972,23562
1973,22813
1974,21934
1975,21294
1976,20686
1977,20561
1978,20394
1979,20326
1980,20192
1981,20180
1982,20272
1983,20206
1984,20297
1985,20313
1986,20200
1987,20113
1988,19992
1989,19915
1990,19750
1991,19637
1992,19531
1993,19756
1994,19871
1995,19879
1996,20198
1997,21101
1998,21865
1999,22625
2000,24081
2001,24649
2002,25164
2003,25703
2004,25778
2005,26357
2006,26825
2007,27439
2008,27499
2009,28274
2010,29280
2011,36279
2012,29473
2013,30198
2014,33120
2015,33624
2016,34433
2017,33671
2018,33956
2019,35826
2020,37248
2021,40532
1950,158
1951,163
1952,199
1953,213
1954,229
1955,187
1956,213
1957,200
1958,215
1959,185
1960,183
1961,193
1962,227
1963,223
1964,221
1965,226
1966,213
1967,196
1968,234
1969,221
1970,218
1971,261
1972,198
1973,238
1974,185
1975,229
1976,227
1977,182
1978,203
1979,213
1980,262
1981,257
1982,235
1983,218
1984,255
1985,248
1986,201
1987,253
1988,206
1989,207
1990,198
1991,199
1992,194
1993,208
1994,181
1995,206
1996,219
1997,239
1998,215
1999,197
2000,247
2001,206
2002,206
2003,207
2004,180
2005,208
2006,210
2007,210
2008,190
2009,220
2010,221
2011,229
2012,224
2013,234
2014,247
2015,239
2016,256
2017,229
2018,255
2019,236
2020,291
2021,281
1950,33740
1951,32669
1952,31557
1953,30818
1954,30295
1955,29814
1956,29270
1957,27206
1958,25657
1959,24322
1960,22638
1961,23271
1962,25907
1963,23897
1964,22494
1965,24172
1966,24443
1967,25114
1968,26313
1969,27815
1970,28800
1971,27621
1972,29787
1973,29570
1974,30049
1975,31780
1976,32298
1977,33306
1978,34489
1979,35421
1980,36539
1981,36314
1982,35868
1983,37378
1984,39724
1985,40411
1986,37046
1987,38382
1988,39285
1989,39890
1990,41537
1991,42783
1992,43207
1993,48075
1994,48307
1995,47090
1996,44556
1997,42863
1998,42578
1999,41806
2000,40797
2001,42387
2002,42907
2003,42662
2004,43016
2005,45505
2006,46529
2007,47227
2008,45301
2009,43454
2010,43587
2011,42738
2012,42745
2013,43297
2014,42147
2015,43765
2016,43359
2017,42582
2018,42305
2019,41043
2020,46127
2021,50975
1950,3830846
1951,3607735
1952,3304670
1953,3257980
1954,3217306
1955,3232205
1956,3255760
1957,3417376
1958,3456093
1959,3340159
1960,3368490
1961,3405580
1962,3448216
1963,3512075
1964,3520794
1965,3599090
1966,3718368
1967,3710779
1968,3757731
1969,3817974
1970,3868736
1971,3893932
1972,4038443
1973,4001701
1974,4102162
1975,4159345
1976,4138700
1977,4192569
1978,4261554
1979,4317735
1980,4373437
1981,4408209
1982,4463914
1983,4877524
1984,5040336
1985,5092210
1986,5030664
1987,5007674
1988,5349254
1989,4989246
1990,5104408
1991,5269659
1992,5429598
1993,5378673
1994,5845794
1995,5438448
1996,5536802
1997,5563323
1998,5850261
1999,5601859
2000,5513719
2001,5503947
2002,5507612
2003,5414095
2004,5410941
2005,5383881
2006,5314431
2007,5279970
2008,5246956
2009,5183213
2010,5170034
2011,5137216
2012,5165875
2013,5168419
2014,5170306
2015,5162981
2016,5138749
2017,5153397
2018,5180718
2019,5202841
2020,5455230
2021,5730952
1950,18134002
1951,18403604
1952,18463250
1953,18622460
1954,18559186
1955,18559700
1956,18644702
1957,18751646
1958,18834316
1959,18831392
1960,18988422
1961,19119140
1962,19258934
1963,19396254
1964,19494436
1965,20769984
1966,20445048
1967,20513280
1968,20162002
1969,20265336
1970,20721706
1971,22238708
1972,20647634
1973,20629586
1974,20673756
1975,20924000
1976,20950926
1977,20586994
1978,20612120
1979,20630220
1980,20703618
1981,20824158
1982,20899020
1983,20911640
1984,20921332
1985,20939236
1986,20927506
1987,20998328
1988,21050872
1989,21048874
1990,21125280
1991,21342050
1992,21316972
1993,21457314
1994,21589158
1995,21703364
1996,21808666
1997,21795376
1998,21777222
1999,21729292
2000,21884632
2001,21999688
2002,22005066
2003,22062652
2004,22296590
2005,22209920
2006,22180850
2007,22339390
2008,22636912
2009,22568480
2010,22658222
2011,22586152
2012,22610548
2013,22628384
2014,22569422
2015,22607948
2016,22672844
2017,22829632
2018,23108834
2019,23453300
2020,25574948
2021,29801332
1950,3647
1951,3580
1952,3516
1953,4092
1954,3493
1955,3593
1956,3766
1957,3839
1958,3547
1959,3600
1960,3725
1961,3593
1962,4036
1963,3886
1964,3813
1965,4042
1966,4024
1967,4128
1968,4085
1969,4185
1970,4157
1971,4384
1972,4101
1973,4210
1974,4310
1975,4360
1976,4537
1977,4100
1978,4187
1979,3974
1980,4135
1981,4126
1982,4106
1983,4121
1984,4057
1985,4011
1986,3966
1987,4004
1988,3822
1989,3974
1990,3770
1991,3746
1992,4012
1993,3896
1994,3792
1995,3782
1996,3887
1997,3910
1998,3885
1999,3779
2000,3762
2001,3703
2002,3721
2003,4053
2004,3589
2005,3621
2006,3772
2007,3872
2008,3607
2009,3673
2010,3778
2011,3833
2012,3896
2013,3837
2014,3845
2015,3990
2016,3993
2017,4281
2018,4348
2019,4309
2020,4780
2021,4341
1950,2037
1951,2121
1952,2120
1953,2053
1954,1975
1955,1892
1956,1815
1957,1741
1958,1668
1959,1620
1960,1580
1961,1523
1962,1504
1963,1490
1964,1476
1965,1462
1966,1443
1967,1431
1968,1415
1969,1404
1970,1401
1971,1397
1972,1396
1973,1395
1974,1408
1975,1424
1976,1442
1977,1463
1978,1486
1979,1519
1980,1548
1981,1579
1982,1585
1983,1588
1984,1588
1985,1584
1986,1578
1987,1565
1988,1564
1989,1547
1990,1533
1991,1501
1992,1489
1993,1491
1994,1493
1995,1498
1996,1464
1997,1496
1998,1530
1999,1547
2000,1564
2001,1592
2002,1643
2003,1686
2004,1735
2005,1759
2006,1806
2007,1844
2008,1872
2009,1895
2010,2029
2011,2107
2012,2187
2013,2194
2014,2266
2015,2358
2016,2417
2017,2452
2018,2496
2019,2625
2020,2718
2021,2813
1950,96425
1951,98639
1952,100264
1953,101763
1954,103201
1955,104264
1956,105623
1957,106688
1958,107697
1959,108592
1960,109215
1961,110068
1962,110781
1963,111656
1964,112467
1965,113615
1966,115013
1967,116047
1968,116985
1969,118019
1970,119342
1971,121368
1972,122880
1973,123949
1974,125479
1975,127448
1976,130555
1977,133917
1978,137453
1979,141014
1980,144795
1981,148836
1982,153080
1983,157205
1984,161143
1985,164487
1986,167239
1987,168795
1988,170539
1989,171412
1990,171917
1991,171929
1992,171698
1993,170305
1994,171197
1995,171954
1996,172129
1997,171008
1998,169417
1999,169426
2000,168416
2001,166896
2002,167805
2003,166764
2004,165424
2005,165990
2006,164052
2007,164548
2008,165489
2009,164770
2010,167639
2011,165990
2012,169505
2013,169872
2014,171370
2015,175196
2016,173724
2017,177726
2018,180875
2019,179489
2020,191982
2021,205436
1950,95671
1951,95504
1952,96138
1953,97154
1954,97926
1955,98767
1956,99820
1957,101447
1958,103266
1959,105411
1960,107715
1961,110271
1962,112283
1963,115554
1964,118260
1965,121107
1966,123656
1967,126684
1968,129361
1969,131327
1970,132621
1971,133380
1972,133532
1973,133747
1974,133677
1975,132873
1976,132033
1977,131350
1978,130671
1979,131542
1980,133648
1981,136532
1982,140940
1983,146708
1984,155031
1985,164379
1986,173633
1987,181834
1988,198182
1989,204361
1990,209951
1991,213330
1992,214989
1993,218558
1994,214194
1995,206334
1996,211643
1997,217836
1998,223939
1999,221786
2000,219949
2001,214055
2002,208421
2003,200645
2004,193179
2005,186932
2006,183254
2007,182308
2008,180077
2009,174279
2010,168031
2011,160746
2012,152506
2013,145595
2014,138073
2015,135632
2016,131285
2017,127870
2018,127786
2019,124761
2020,129975
2021,138931
1950,130459
1951,125343
1952,119625
1953,114415
1954,110260
1955,106240
1956,102940
1957,99506
1958,95943
1959,92067
1960,88938
1961,85817
1962,82648
1963,80080
1964,77751
1965,75120
1966,74518
1967,73930
1968,73692
1969,73364
1970,73054
1971,72724
1972,72304
1973,71977
1974,71273
1975,70988
1976,70486
1977,70198
1978,70283
1979,70369
1980,70452
1981,69946
1982,70463
1983,71265
1984,71847
1985,72387
1986,74370
1987,76035
1988,77707
1989,79376
1990,81367
1991,83724
1992,86403
1993,87583
1994,88510
1995,90295
1996,94179
1997,98051
1998,102602
1999,105321
2000,104767
2001,103942
2002,106385
2003,109018
2004,113037
2005,116415
2006,121343
2007,126781
2008,132667
2009,139454
2010,143564
2011,143561
2012,145323
2013,148763
2014,152233
2015,158136
2016,160803
2017,163884
2018,167497
2019,172154
2020,176170
2021,202436
1950,1779
1951,1868
1952,1940
1953,2045
1954,2099
1955,2171
1956,2236
1957,2299
1958,2355
1959,2404
1960,2456
1961,2494
1962,2523
1963,2532
1964,2530
1965,2520
1966,2533
1967,2496
1968,2459
1969,2470
1970,2469
1971,2437
1972,2406
1973,2368
1974,2314
1975,2269
1976,2247
1977,2220
1978,2414
1979,2134
1980,2088
1981,2059
1982,2027
1983,1998
1984,1955
1985,1936
1986,1929
1987,1904
1988,1864
1989,1821
1990,1782
1991,1740
1992,1690
1993,1638
1994,1583
1995,1513
1996,1405
1997,1357
1998,1337
1999,1306
2000,1259
2001,1173
2002,1115
2003,1095
2004,1203
2005,1143
2006,1167
2007,1167
2008,1132
2009,1129
2010,1116
2011,1115
2012,1104
2013,1110
2014,1116
2015,1167
2016,1227
2017,1299
2018,1370
2019,1432
2020,1542
2021,1573
1950,176134
1951,177579
1952,178178
1953,178587
1954,179084
1955,179901
1956,180285
1957,181696
1958,183178
1959,185177
1960,187194
1961,189425
1962,191452
1963,192776
1964,193822
1965,195475
1966,196976
1967,197872
1968,198304
1969,198619
1970,198472
1971,199016
1972,196100
1973,194985
1974,193041
1975,191635
1976,189129
1977,187032
1978,184876
1979,183338
1980,182308
1981,183174
1982,182707
1983,183781
1984,183336
1985,183021
1986,180847
1987,178595
1988,176439
1989,175524
1990,173067
1991,172243
1992,173228
1993,174455
1994,177257
1995,179350
1996,182138
1997,180364
1998,179859
1999,180168
2000,179831
2001,179544
2002,178064
2003,178293
2004,178745
2005,180345
2006,180450
2007,182224
2008,183682
2009,183494
2010,183696
2011,184727
2012,185967
2013,186210
2014,185448
2015,185256
2016,185829
2017,186309
2018,188002
2019,189579
2020,202371
2021,203297
1950,4433
1951,4143
1952,3796
1953,3522
1954,3805
1955,3291
1956,3505
1957,3631
1958,3014
1959,3234
1960,2970
1961,3081
1962,2971
1963,3154
1964,2923
1965,3041
1966,3003
1967,2945
1968,2783
1969,3045
1970,2964
1971,3001
1972,2741
1973,2839
1974,2682
1975,2744
1976,2849
1977,2838
1978,2844
1979,2868
1980,2883
1981,2857
1982,3387
1983,2925
1984,2917
1985,2875
1986,2866
1987,2728
1988,2778
1989,2644
1990,2602
1991,2857
1992,2952
1993,2678
1994,2814
1995,2744
1996,3076
1997,2924
1998,2896
1999,2984
2000,3176
2001,2920
2002,3177
2003,3186
2004,3163
2005,3148
2006,3244
2007,3215
2008,3296
2009,3261
2010,3024
2011,3336
2012,3381
2013,3262
2014,3184
2015,3208
2016,3245
2017,3240
2018,3471
2019,3644
2020,3837
2021,3819
1950,236
1951,230
1952,219
1953,205
1954,190
1955,202
1956,215
1957,228
1958,241
1959,249
1960,248
1961,248
1962,247
1963,248
1964,250
1965,254
1966,259
1967,266
1968,267
1969,267
1970,266
1971,264
1972,267
1973,271
1974,278
1975,280
1976,282
1977,284
1978,287
1979,290
1980,292
1981,295
1982,299
1983,302
1984,305
1985,310
1986,316
1987,323
1988,328
1989,333
1990,336
1991,337
1992,338
1993,340
1994,342
1995,341
1996,340
1997,340
1998,340
1999,341
2000,351
2001,346
2002,348
2003,351
2004,356
2005,361
2006,366
2007,370
2008,374
2009,373
2010,372
2011,369
2012,364
2013,361
2014,356
2015,351
2016,346
2017,342
2018,337
2019,333
2020,329
2021,325
1950,3971
1951,3784
1952,3648
1953,3528
1954,3290
1955,3065
1956,3123
1957,3101
1958,3111
1959,3058
1960,2989
1961,2910
1962,2900
1963,2756
1964,2714
1965,2618
1966,2608
1967,2600
1968,2623
1969,2558
1970,2553
1971,2477
1972,2463
1973,2439
1974,2421
1975,2374
1976,2350
1977,2330
1978,2312
1979,2307
1980,2293
1981,2290
1982,2291
1983,2278
1984,2266
1985,2260
1986,2301
1987,2301
1988,2344
1989,2383
1990,2365
1991,2458
1992,2504
1993,2529
1994,2555
1995,2577
1996,2605
1997,2630
1998,2650
1999,2670
2000,2687
2001,2764
2002,2697
2003,2663
2004,2623
2005,2575
2006,2611
2007,2608
2008,2663
2009,2687
2010,2630
2011,2614
2012,2699
2013,2755
2014,2894
2015,3011
2016,3112
2017,3178
2018,3187
2019,3219
2020,3226
2021,4135
1950,15148
1951,15160
1952,15244
1953,15369
1954,15454
1955,15530
1956,15675
1957,15811
1958,15903
1959,15969
1960,15951
1961,16052
1962,16182
1963,16292
1964,16333
1965,16458
1966,16543
1967,16627
1968,16673
1969,16759
1970,16967
1971,17229
1972,17550
1973,17900
1974,18220
1975,18408
1976,18707
1977,18868
1978,18965
1979,18933
1980,18947
1981,18970
1982,18950
1983,19053
1984,19075
1985,19118
1986,19156
1987,19059
1988,19007
1989,19338
1990,19303
1991,19689
1992,19976
1993,20919
1994,21679
1995,22464
1996,23030
1997,22902
1998,23218
1999,23532
2000,23883
2001,24306
2002,24644
2003,25011
2004,25233
2005,25727
2006,26018
2007,26172
2008,26566
2009,27391
2010,28452
2011,29744
2012,31123
2013,32373
2014,31919
2015,31503
2016,31243
2017,30991
2018,30971
2019,30716
2020,33598
2021,34347
1950,8070
1951,8409
1952,8929
1953,9016
1954,8708
1955,8238
1956,8104
1957,8292
1958,8522
1959,8461
1960,8348
1961,8244
1962,8169
1963,7997
1964,7677
1965,7555
1966,7834
1967,8324
1968,8237
1969,7810
1970,7456
1971,7659
1972,7970
1973,7953
1974,7898
1975,7773
1976,7794
1977,7487
1978,7246
1979,7079
1980,7025
1981,6862
1982,6854
1983,6989
1984,7178
1985,7253
1986,7246
1987,7264
1988,7372
1989,7308
1990,7241
1991,7074
1992,7189
1993,7393
1994,7531
1995,7591
1996,7851
1997,7911
1998,8038
1999,7943
2000,8037
2001,8144
2002,8336
2003,8415
2004,8533
2005,8652
2006,8749
2007,8875
2008,8960
2009,9023
2010,9040
2011,9147
2012,9344
2013,9350
2014,9577
2015,9803
2016,10095
2017,10524
2018,10786
2019,10891
2020,11243
2021,12527
1950,540
1951,536
1952,515
1953,497
1954,477
1955,458
1956,441
1957,425
1958,410
1959,399
1960,387
1961,374
1962,364
1963,353
1964,345
1965,338
1966,328
1967,323
1968,318
1969,315
1970,309
1971,303
1972,297
1973,294
1974,292
1975,287
1976,284
1977,281
1978,279
1979,277
1980,278
1981,279
1982,280
1983,285
1984,282
1985,287
1986,294
1987,295
1988,305
1989,315
1990,321
1991,327
1992,338
1993,350
1994,358
1995,374
1996,378
1997,393
1998,403
1999,402
2000,412
2001,422
2002,433
2003,443
2004,455
2005,456
2006,459
2007,457
2008,467
2009,475
2010,484
2011,494
2012,509
2013,534
2014,565
2015,602
2016,633
2017,662
2018,701
2019,732
2020,871
2021,999
1950,592738
1951,587209
1952,570356
1953,553076
1954,537419
1955,523892
1956,513334
1957,505265
1958,498762
1959,492873
1960,488005
1961,481373
1962,477192
1963,474550
1964,473677
1965,474221
1966,475946
1967,477932
1968,480514
1969,482780
1970,483743
1971,483615
1972,486584
1973,488957
1974,491830
1975,495424
1976,500754
1977,506071
1978,511642
1979,513955
1980,513740
1981,508536
1982,499114
1983,489816
1984,482031
1985,476791
1986,473627
1987,471234
1988,470257
1989,471608
1990,473031
1991,474400
1992,475508
1993,476582
1994,478018
1995,479154
1996,480313
1997,480966
1998,482794
1999,486055
2000,490035
2001,494017
2002,499949
2003,508888
2004,520537
2005,536265
2006,554109
2007,574989
2008,596032
2009,615243
2010,629665
2011,638875
2012,653197
2013,668396
2014,689666
2015,721944
2016,765905
2017,812498
2018,850431
2019,867074
2020,1175636
2021,1191718
1950,548
1951,564
1952,564
1953,561
1954,554
1955,552
1956,549
1957,546
1958,545
1959,539
1960,531
1961,531
1962,531
1963,537
1964,540
1965,538
1966,544
1967,543
1968,547
1969,547
1970,550
1971,550
1972,552
1973,552
1974,551
1975,551
1976,549
1977,548
1978,546
1979,557
1980,558
1981,563
1982,567
1983,566
1984,565
1985,570
1986,575
1987,584
1988,576
1989,577
1990,574
1991,577
1992,579
1993,602
1994,634
1995,642
1996,631
1997,609
1998,593
1999,574
2000,561
2001,534
2002,582
2003,529
2004,529
2005,528
2006,520
2007,520
2008,514
2009,510
2010,497
2011,502
2012,510
2013,519
2014,532
2015,552
2016,561
2017,585
2018,610
2019,642
2020,682
2021,705
1950,36301
1951,36719
1952,36318
1953,36142
1954,35685
1955,35382
1956,35073
1957,34764
1958,34574
1959,34470
1960,34322
1961,34351
1962,34060
1963,33887
1964,33649
1965,33868
1966,34366
1967,34986
1968,35771
1969,36640
1970,37812
1971,39226
1972,40117
1973,40875
1974,42036
1975,42831
1976,43619
1977,44757
1978,45844
1979,46022
1980,45941
1981,45654
1982,45094
1983,48092
1984,49468
1985,50591
1986,44880
1987,44634
1988,45466
1989,44584
1990,47513
1991,52267
1992,51586
1993,54229
1994,60798
1995,60108
1996,64372
1997,59610
1998,58597
1999,58751
2000,55528
2001,54472
2002,54401
2003,52745
2004,50971
2005,50345
2006,49383
2007,47762
2008,46304
2009,45777
2010,46819
2011,47580
2012,47761
2013,47772
2014,47778
2015,46735
2016,44013
2017,41894
2018,42140
2019,40874
2020,44655
2021,50200
1950,308
1951,347
1952,314
1953,293
1954,296
1955,302
1956,314
1957,319
1958,325
1959,330
1960,332
1961,335
1962,340
1963,345
1964,357
1965,373
1966,386
1967,394
1968,402
1969,407
1970,413
1971,420
1972,428
1973,437
1974,448
1975,460
1976,463
1977,466
1978,468
1979,472
1980,477
1981,481
1982,453
1983,426
1984,436
1985,456
1986,469
1987,471
1988,468
1989,462
1990,454
1991,445
1992,434
1993,423
1994,409
1995,398
1996,388
1997,379
1998,376
1999,374
2000,373
2001,367
2002,358
2003,335
2004,313
2005,303
2006,313
2007,338
2008,363
2009,360
2010,398
2011,420
2012,529
2013,592
2014,668
2015,728
2016,780
2017,790
2018,741
2019,745
2020,753
2021,778
1950,20002
1951,20612
1952,21009
1953,21325
1954,21420
1955,21512
1956,21597
1957,23354
1958,22591
1959,22950
1960,23327
1961,23616
1962,23840
1963,24093
1964,23746
1965,23467
1966,23299
1967,22947
1968,22692
1969,22416
1970,21989
1971,21611
1972,21285
1973,21063
1974,20916
1975,20911
1976,21532
1977,21840
1978,22131
1979,22407
1980,22710
1981,23081
1982,23450
1983,23402
1984,23358
1985,23640
1986,23966
1987,23803
1988,23528
1989,23143
1990,22707
1991,22084
1992,21448
1993,20826
1994,20354
1995,20153
1996,20577
1997,20019
1998,18963
1999,18243
2000,18069
2001,17928
2002,18058
2003,17645
2004,17451
2005,17915
2006,17781
2007,17873
2008,18000
2009,18188
2010,18202
2011,18500
2012,18209
2013,18209
2014,18227
2015,18252
2016,18382
2017,18517
2018,17878
2019,17738
2020,18030
2021,20520
1950,5767
1951,5927
1952,5616
1953,5609
1954,5413
1955,5399
1956,5237
1957,5123
1958,4832
1959,4827
1960,4588
1961,4516
1962,4436
1963,4245
1964,4200
1965,4048
1966,3889
1967,3945
1968,3926
1969,4071
1970,4135
1971,4095
1972,3969
1973,4006
1974,3929
1975,4051
1976,4050
1977,4218
1978,4397
1979,4668
1980,4458
1981,4680
1982,4804
1983,4895
1984,4384
1985,4162
1986,4097
1987,3973
1988,3749
1989,4093
1990,4212
1991,4347
1992,4860
1993,4860
1994,5516
1995,5222
1996,5585
1997,5642
1998,5777
1999,6184
2000,5725
2001,5596
2002,5833
2003,5938
2004,5768
2005,6131
2006,6319
2007,6239
2008,5957
2009,6162
2010,5822
2011,6059
2012,6108
2013,6082
2014,6168
2015,6400
2016,6518
2017,6592
2018,6618
2019,6801
2020,7473
2021,7556
1950,276
1951,269
1952,260
1953,251
1954,242
1955,236
1956,230
1957,225
1958,218
1959,210
1960,212
1961,202
1962,184
1963,176
1964,173
1965,173
1966,176
1967,174
1968,172
1969,169
1970,161
1971,155
1972,152
1973,146
1974,143
1975,142
1976,142
1977,142
1978,141
1979,142
1980,143
1981,142
1982,141
1983,138
1984,135
1985,128
1986,127
1987,124
1988,122
1989,134
1990,120
1991,120
1992,114
1993,105
1994,103
1995,97
1996,94
1997,122
1998,76
1999,68
2000,72
2001,68
2002,61
2003,53
2004,51
2005,60
2006,59
2007,58
2008,51
2009,58
2010,58
2011,59
2012,58
2013,57
2014,56
2015,57
2016,56
2017,57
2018,44
2019,48
2020,51
2021,49
1950,9054967
1951,9157189
1952,8753687
1953,8733600
1954,8494416
1955,8428682
1956,8415365
1957,8577949
1958,8201490
1959,8398646
1960,8434539
1961,8382808
1962,8734450
1963,8763253
1964,8569300
1965,8845945
1966,8869281
1967,8997544
1968,9319495
1969,9544742
1970,9524639
1971,9568348
1972,9633702
1973,9782615
1974,9759688
1975,9894787
1976,9994317
1977,9921651
1978,10099907
1979,10168469
1980,10438459
1981,10410133
1982,10376381
1983,10636258
1984,10685859
1985,10877921
1986,10617150
1987,10625721
1988,10792102
1989,10829343
1990,11010351
1991,11160692
1992,11342207
1993,11942802
1994,12041508
1995,12188932
1996,12011513
1997,11881579
1998,11882360
1999,12203100
2000,12190303
2001,12179106
2002,12388070
2003,12566909
2004,12262333
2005,12490137
2006,12218714
2007,12206710
2008,12309469
2009,12181545
2010,12305653
2011,12255592
2012,12414465
2013,12440304
2014,12409271
2015,12734593
2016,12614054
2017,12781108
2018,12860331
2019,12801279
2020,14369538
2021,15010052
1950,223341
1951,231110
1952,235992
1953,240481
1954,244354
1955,247793
1956,250778
1957,252459
1958,254037
1959,255275
1960,267971
1961,256762
1962,257521
1963,257074
1964,255766
1965,254662
1966,253641
1967,252257
1968,251036
1969,250283
1970,250544
1971,251565
1972,252258
1973,252773
1974,252362
1975,251415
1976,248833
1977,245109
1978,241143
1979,236732
1980,232612
1981,229218
1982,224945
1983,220007
1984,215058
1985,209596
1986,204609
1987,200028
1988,195898
1989,192243
1990,189752
1991,188670
1992,187631
1993,185933
1994,184508
1995,184265
1996,183074
1997,183260
1998,183441
1999,183408
2000,183928
2001,184372
2002,185403
2003,186478
2004,188182
2005,188186
2006,189261
2007,189756
2008,190642
2009,192115
2010,193934
2011,194690
2012,195641
2013,196141
2014,196795
2015,198094
2016,199321
2017,200656
2018,202762
2019,205653
2020,222905
2021,228888
1950,160132
1951,159997
1952,159141
1953,158624
1954,157952
1955,157596
1956,157146
1957,157128
1958,156789
1959,157058
1960,157926
1961,158996
1962,161189
1963,164026
1964,168738
1965,171814
1966,175547
1967,178891
1968,182510
1969,186084
1970,189632
1971,193726
1972,198967
1973,203780
1974,207727
1975,210861
1976,217696
1977,224853
1978,232960
1979,242767
1980,251266
1981,276813
1982,279916
1983,283512
1984,310560
1985,313280
1986,295109
1987,298030
1988,269242
1989,267642
1990,267567
1991,269651
1992,270754
1993,270497
1994,276463
1995,286768
1996,287439
1997,286722
1998,285319
1999,281732
2000,279069
2001,277046
2002,275764
2003,277355
2004,277482
2005,278369
2006,278213
2007,275480
2008,274321
2009,273021
2010,274867
2011,272708
2012,269222
2013,264872
2014,260367
2015,255083
2016,250323
2017,248268
2018,245416
2019,243603
2020,249559
2021,282145
1950,495907
1951,498719
1952,484786
1953,477816
1954,468721
1955,463450
1956,458313
1957,456137
1958,452461
1959,451146
1960,449475
1961,449320
1962,446986
1963,444889
1964,438725
1965,431251
1966,424543
1967,417613
1968,412873
1969,417495
1970,420026
1971,420476
1972,424086
1973,425976
1974,426514
1975,429077
1976,428433
1977,430233
1978,434981
1979,434445
1980,434423
1981,436843
1982,439242
1983,442922
1984,446502
1985,450278
1986,451502
1987,453042
1988,458502
1989,455401
1990,460947
1991,460555
1992,462440
1993,461102
1994,460650
1995,460801
1996,452427
1997,453009
1998,448117
1999,453976
2000,455684
2001,458233
2002,459819
2003,461213
2004,461663
2005,460352
2006,460667
2007,456710
2008,593071
2009,451334
2010,455611
2011,449813
2012,453365
2013,445954
2014,449985
2015,446949
2016,454599
2017,461006
2018,454580
2019,461434
2020,471418
2021,525701
1950,11625
1951,11717
1952,11635
1953,11561
1954,11444
1955,11352
1956,11246
1957,11144
1958,11004
1959,10913
1960,10801
1961,10722
1962,10655
1963,10630
1964,10576
1965,10570
1966,10638
1967,10646
1968,10676
1969,10723
1970,10772
1971,10785
1972,10823
1973,10841
1974,10877
1975,10850
1976,10894
1977,10850
1978,10807
1979,10646
1980,11440
1981,11332
1982,11088
1983,11121
1984,11084
1985,11049
1986,11055
1987,11028
1988,11307
1989,10493
1990,11371
1991,11928
1992,12514
1993,13198
1994,14139
1995,15260
1996,16830
1997,18319
1998,20052
1999,21557
2000,23098
2001,24351
2002,24789
2003,25403
2004,25647
2005,25483
2006,24963
2007,24290
2008,23726
2009,23316
2010,23276
2011,23212
2012,22531
2013,21891
2014,21189
2015,20761
2016,20220
2017,20065
2018,20250
2019,20216
2020,21112
2021,27119
1950,59
1951,57
1952,55
1953,54
1954,53
1955,52
1956,52
1957,51
1958,51
1959,50
1960,50
1961,50
1962,50
1963,51
1964,52
1965,52
1966,54
1967,52
1968,52
1969,53
1970,54
1971,54
1972,55
1973,56
1974,56
1975,58
1976,58
1977,59
1978,62
1979,64
1980,66
1981,67
1982,69
1983,72
1984,75
1985,77
1986,77
1987,78
1988,77
1989,76
1990,75
1991,73
1992,71
1993,70
1994,70
1995,72
1996,76
1997,81
1998,84
1999,86
2000,86
2001,88
2002,88
2003,88
2004,89
2005,89
2006,89
2007,89
2008,88
2009,88
2010,85
2011,82
2012,80
2013,79
2014,78
2015,78
2016,77
2017,78
2018,78
2019,79
2020,82
2021,83
1950,218304
1951,222482
1952,226417
1953,230698
1954,234642
1955,237869
1956,241125
1957,244175
1958,247628
1959,249611
1960,252886
1961,255426
1962,257953
1963,260251
1964,260490
1965,261291
1966,262418
1967,262535
1968,264299
1969,264419
1970,264861
1971,265443
1972,266634
1973,267719
1974,269051
1975,269064
1976,269903
1977,270922
1978,269961
1979,269882
1980,268943
1981,269494
1982,269490
1983,270208
1984,267934
1985,266345
1986,264466
1987,259439
1988,257668
1989,250992
1990,248380
1991,244125
1992,238692
1993,235621
1994,230035
1995,225945
1996,221737
1997,215543
1998,209994
1999,206788
2000,204297
2001,198947
2002,202090
2003,195544
2004,192112
2005,188292
2006,186924
2007,185069
2008,187644
2009,187412
2010,190785
2011,189077
2012,191550
2013,189862
2014,192797
2015,204456
2016,193403
2017,196726
2018,200989
2019,198367
2020,210466
2021,232398
1950,75846
1951,77412
1952,76290
1953,80856
1954,79663
1955,81741
1956,84889
1957,83021
1958,84479
1959,85946
1960,87757
1961,88297
1962,93824
1963,95604
1964,93356
1965,97895
1966,100381
1967,99717
1968,104930
1969,107612
1970,109491
1971,110033
1972,113374
1973,110520
1974,109158
1975,113541
1976,114274
1977,109940
1978,114270
1979,112533
1980,114160
1981,115370
1982,117212
1983,117840
1984,119873
1985,122765
1986,125426
1987,122245
1988,124140
1989,128905
1990,128841
1991,129818
1992,129790
1993,137685
1994,133337
1995,135491
1996,137711
1997,135895
1998,137453
1999,140540
2000,140526
2001,140248
2002,142388
2003,141723
2004,136388
2005,136356
2006,135370
2007,132990
2008,135142
2009,134251
2010,136078
2011,135692
2012,140752
2013,141066
2014,139280
2015,147236
2016,149107
2017,150325
2018,153598
2019,152075
2020,167303
