Year,Births
1973,63323
1974,64916
1975,66514
1976,68148
1977,69642
1978,71087
1979,72706
1980,74521
1981,76604
1982,78738
1983,80944
1984,82580
1985,84268
1986,85920
1987,87615
1988,89613
1989,91008
1990,91997
1991,92561
1992,80588
1993,80381
1994,85308
1995,84740
1996,97079
1997,93745
1998,92040
1999,90050
2000,90648
2001,89897
2002,95036
2003,96249
2004,103172
2005,104107
2006,105300
2007,103609
2008,103900
2009,106540
2010,106281
2011,106770
2012,106166
2013,105095
2014,104927
2015,102386
2016,101487
2017,100510
2018,100599
2019,101706
2020,102300
2021,103861
1950,20272
1951,20946
1952,21398
1953,20615
1954,21367
1955,21246
1956,20095
1957,19843
1958,19933
1959,20087
1960,20182
1961,20159
1962,19793
1963,19108
1964,19201
1965,18523
1966,18294
1967,18516
1968,19697
1969,20709
1970,21251
1971,21505
1972,21154
1973,20753
1974,21084
1975,21193
1976,21715
1977,21919
1978,21741
1979,21732
1980,21950
1981,22633
1982,22876
1983,23768
1984,23972
1985,23528
1986,24024
1987,24933
1988,24925
1989,24225
1990,22229
1991,19557
1992,18173
1993,15547
1994,14386
1995,13668
1996,13370
1997,12726
1998,12340
1999,12425
2000,13030
2001,12700
2002,12998
2003,13088
2004,13985
2005,14395
2006,14950
2007,15765
2008,16031
2009,15810
2010,15804
2011,14756
2012,14099
2013,13593
2014,13573
2015,13789
2016,14023
2017,13813
2018,14282
2019,14158
2020,13902
2021,13639
1950,13745
1951,13961
1952,14167
1953,14389
1954,14628
1955,14885
1956,15158
1957,15451
1958,15765
1959,16100
1960,16453
1961,16822
1962,17214
1963,17743
1964,18070
1965,18562
1966,19113
1967,19542
1968,20252
1969,20954
1970,21672
1971,22425
1972,23024
1973,23655
1974,24684
1975,25482
1976,26288
1977,26990
1978,27652
1979,28372
1980,29153
1981,29824
1982,30258
1983,30921
1984,31629
1985,32154
1986,32470
1987,32911
1988,33266
1989,34593
1990,34210
1991,34985
1992,35711
1993,36139
1994,35710
1995,32604
1996,32556
1997,32374
1998,32410
1999,33079
2000,33251
2001,33231
2002,33100
2003,33409
2004,33834
2005,33988
2006,33784
2007,33999
2008,34355
2009,34100
2010,33241
2011,32948
2012,32715
2013,32608
2014,32147
2015,31594
2016,31104
2017,30535
2018,29969
2019,29498
2020,29120
2021,28831
1950,874711
1951,889569
1952,898737
1953,909755
1954,920899
1955,934485
1956,950542
1957,967406
1958,985252
1959,1006619
1960,1031961
1961,1060489
1962,1089900
1963,1121168
1964,1156700
1965,1193394
1966,1229692
1967,1267638
1968,1307865
1969,1357538
1970,1399019
1971,1441693
1972,1481072
1973,1517271
1974,1560731
1975,1600733
1976,1644082
1977,1694419
1978,1711767
1979,1750373
1980,1764382
1981,1770764
1982,1858233
1983,1917035
1984,1984558
1985,2051876
1986,2110971
1987,2168348
1988,2229615
1989,2304185
1990,2389490
1991,2465738
1992,2547650
1993,2617913
1994,2677392
1995,2736874
1996,2810898
1997,2864920
1998,2894639
1999,2945809
2000,2984415
2001,3039805
2002,3084587
2003,3095976
2004,3137819
2005,3177441
2006,3207115
2007,3240151
2008,3244916
2009,3235072
2010,3258513
2011,3289543
2012,3289081
2013,3293590
2014,3345796
2015,3425259
2016,3506866
2017,3576536
2018,3667649
2019,3781463
2020,3841565
2021,3895734
1950,12202220
1951,12112425
1952,12142368
1953,12120826
1954,12151779
1955,12134270
1956,12133583
1957,12194100
1958,12177600
1959,12178245
1960,12098378
1961,11990399
1962,11784056
1963,11654646
1964,11467618
1965,11141596
1966,10950076
1967,10969039
1968,10821004
1969,10685498
1970,10568071
1971,10662541
1972,10499844
1973,10322172
1974,10406013
1975,10285047
1976,10242399
1977,10171264
1978,10143418
1979,10159933
1980,10156371
1981,10053030
1982,10102647
1983,10078184
1984,10050688
1985,9969920
1986,9987274
1987,9966304
1988,9840567
1989,9495117
1990,9235425
1991,8888909
1992,8523515
1993,8138793
1994,7913453
1995,7663831
1996,7581575
1997,7476674
1998,7369527
1999,7264382
2000,7325763
2001,7277594
2002,7330526
2003,7442475
2004,7558652
2005,7568637
2006,7703029
2007,7886129
2008,8169398
2009,8208267
2010,8227484
2011,8132980
2012,8178804
2013,8039791
2014,8067454
2015,8004465
2016,7950684
2017,7617755
2018,7375157
2019,7108392
2020,6938739
2021,6879818
1950,37
1951,43
1952,46
1953,45
1954,46
1955,48
1956,49
1957,46
1958,46
1959,48
1960,53
1961,53
1962,52
1963,51
1964,51
1965,51
1966,46
1967,46
1968,50
1969,51
1970,46
1971,46
1972,45
1973,45
1974,43
1975,42
1976,39
1977,37
1978,35
1979,32
1980,30
1981,29
1982,28
1983,28
1984,28
1985,28
1986,27
1987,28
1988,28
1989,29
1990,31
1991,31
1992,32
1993,34
1994,33
1995,34
1996,35
1997,36
1998,37
1999,39
2000,38
2001,39
2002,39
2003,40
2004,40
2005,38
2006,38
2007,38
2008,37
2009,39
2010,36
2011,36
2012,36
2013,37
2014,38
2015,39
2016,40
2017,42
2018,42
2019,42
2020,43
2021,42
1950,869
1951,877
1952,831
1953,796
1954,768
1955,757
1956,737
1957,767
1958,794
1959,799
1960,777
1961,756
1962,781
1963,803
1964,830
1965,863
1966,867
1967,874
1968,874
1969,828
1970,820
1971,795
1972,825
1973,837
1974,816
1975,786
1976,754
1977,747
1978,738
1979,780
1980,737
1981,749
1982,725
1983,681
1984,692
1985,735
1986,788
1987,792
1988,868
1989,925
1990,962
1991,881
1992,813
1993,765
1994,687
1995,654
1996,690
1997,673
1998,632
1999,630
2000,687
2001,637
2002,695
2003,695
2004,709
2005,718
2006,680
2007,688
2008,681
2009,623
2010,641
2011,597
2012,653
2013,643
2014,638
2015,594
2016,676
2017,727
2018,684
2019,781
2020,807
2021,814
1950,12688
1951,13313
1952,14229
1953,14777
1954,15468
1955,16049
1956,16544
1957,17053
1958,17439
1959,17693
1960,17779
1961,17740
1962,18369
1963,18453
1964,18382
1965,18362
1966,18371
1967,18095
1968,18150
1969,18175
1970,18075
1971,18033
1972,17711
1973,17603
1974,17762
1975,18600
1976,19370
1977,20056
1978,20800
1979,21449
1980,21971
1981,22392
1982,22721
1983,23000
1984,23285
1985,23312
1986,23058
1987,23260
1988,23112
1989,22973
1990,22925
1991,22667
1992,22190
1993,21704
1994,21223
1995,20999
1996,20828
1997,20505
1998,20266
1999,20298
2000,20338
2001,20512
2002,20703
2003,20888
2004,20939
2005,20900
2006,21327
2007,21347
2008,21288
2009,21005
2010,20632
2011,20215
2012,20094
2013,20066
2014,19971
2015,19791
2016,19447
2017,19002
2018,18668
2019,18452
2020,18123
2021,17943
1950,98503
1951,93546
1952,94274
1953,91237
1954,89918
1955,89568
1956,88780
1957,86960
1958,81603
1959,83190
1960,82313
1961,81242
1962,81478
1963,82148
1964,80697
1965,78068
1966,77668
1967,77163
1968,73789
1969,68281
1970,64934
1971,61224
1972,58671
1973,56999
1974,62245
1975,65680
1976,67214
1977,65869
1978,64486
1979,63611
1980,63106
1981,63485
1982,65971
1983,66685
1984,65028
1985,62765
1986,60701
1987,60089
1988,63068
1989,63376
1990,65302
1991,65330
1992,66478
1993,64974
1994,65072
1995,63006
1996,60950
1997,59078
1998,57551
1999,57503
2000,56710
2001,55887
2002,55530
2003,56342
2004,57561
2005,57477
2006,58606
2007,58614
2008,59353
2009,60232
2010,60636
2011,59822
2012,59367
2013,57973
2014,56973
2015,55285
2016,52673
2017,50169
2018,47532
2019,45790
2020,46241
2021,46891
1950,868587
1951,842897
1952,833997
1953,812866
1954,815484
1955,814445
1956,814680
1957,820267
1958,813589
1959,826033
1960,816847
1961,832064
1962,822996
1963,852898
1964,856279
1965,847524
1966,846659
1967,830483
1968,829872
1969,840237
1970,853094
1971,885665
1972,884138
1973,851603
1974,805767
1975,748480
1976,724620
1977,744897
1978,739828
1979,758951
1980,797761
1981,802934
1982,792283
1983,747033
1984,755032
1985,761601
1986,771663
1987,761677
1988,762367
1989,756200
1990,752434
1991,747384
1992,731061
1993,700801
1994,699009
1995,716443
1996,721406
1997,716452
1998,736036
1999,745896
2000,769371
2001,765903
2002,755800
2003,754800
2004,761183
2005,765396
2006,786426
2007,776024
2008,788554
2009,788278
2010,797930
2011,787464
2012,783884
2013,775118
2014,773795
2015,752498
2016,735849
2017,721051
2018,710430
2019,701300
2020,681905
2021,677303
1950,788
1951,792
1952,797
1953,811
1954,825
1955,829
1956,850
1957,880
1958,911
1959,961
1960,1001
1961,1036
1962,1070
1963,1104
1964,1167
1965,1201
1966,1236
1967,1276
1968,1314
1969,1393
1970,1454
1971,1497
1972,1528
1973,1517
1974,1523
1975,1574
1976,1603
1977,1676
1978,1750
1979,1809
1980,1870
1981,1953
1982,2057
1983,2191
1984,2330
1985,2477
1986,2644
1987,2814
1988,2997
1989,3247
1990,3487
1991,3689
1992,3830
1993,3929
1994,4033
1995,4114
1996,4211
1997,4294
1998,4510
1999,4703
2000,4828
2001,4985
2002,5145
2003,5296
2004,5381
2005,5693
2006,5961
2007,6112
2008,6211
2009,6224
2010,6198
2011,6223
2012,6272
2013,6345
2014,6492
2015,6648
2016,6853
2017,7072
2018,7245
2019,7378
2020,7473
2021,7503
1950,2513
1951,2651
1952,2772
1953,2904
1954,3018
1955,3140
1956,3260
1957,3376
1958,3447
1959,3517
1960,3580
1961,3647
1962,3717
1963,3801
1964,3914
1965,4034
1966,4144
1967,4248
1968,4350
1969,4441
1970,4491
1971,4519
1972,4545
1973,4566
1974,4571
1975,4576
1976,4591
1977,4640
1978,4500
1979,4594
1980,4823
1981,5058
1982,5123
1983,5301
1984,5569
1985,5845
1986,5861
1987,5915
1988,6316
1989,6042
1990,6064
1991,5861
1992,5752
1993,5707
1994,5502
1995,5244
1996,5165
1997,4967
1998,4828
1999,5078
2000,5182
2001,5115
2002,5009
2003,4760
2004,4694
2005,4742
2006,4880
2007,4760
2008,4960
2009,4888
2010,4956
2011,4756
2012,4672
2013,4501
2014,4530
2015,4399
2016,4270
2017,4147
2018,4106
2019,3927
2020,3904
2021,3881
1950,14278
1951,14321
1952,14401
1953,14518
1954,14668
1955,14849
1956,15063
1957,15301
1958,15627
1959,15992
1960,16374
1961,16753
1962,17160
1963,17514
1964,17895
1965,18334
1966,18810
1967,19248
1968,19747
1969,20271
1970,20951
1971,21674
1972,22407
1973,23049
1974,23677
1975,24450
1976,25283
1977,26159
1978,27067
1979,27884
1980,28847
1981,29886
1982,30728
1983,31641
1984,32408
1985,33219
1986,34044
1987,34990
1988,35806
1989,36387
1990,36983
1991,37581
1992,38205
1993,38743
1994,38890
1995,39045
1996,39382
1997,40080
1998,40837
1999,41532
2000,42563
2001,43425
2002,44343
2003,45246
2004,46338
2005,47591
2006,48944
2007,50471
2008,52074
2009,54268
2010,56505
2011,58591
2012,59776
2013,60912
2014,61944
2015,62777
2016,63233
2017,63535
2018,63536
2019,63561
2020,63472
2021,63525
1950,15177
1951,15720
1952,16239
1953,16751
1954,17253
1955,17752
1956,18242
1957,18727
1958,19229
1959,19723
1960,20225
1961,20734
1962,21235
1963,21714
1964,22173
1965,22610
1966,23011
1967,23537
1968,24073
1969,24675
1970,25271
1971,25930
1972,26717
1973,27520
1974,28232
1975,28977
1976,29804
1977,30600
1978,31485
1979,32416
1980,33471
1981,34604
1982,35791
1983,36946
1984,38218
1985,39527
1986,41050
1987,42495
1988,44063
1989,45596
1990,47342
1991,49152
1992,50955
1993,52683
1994,54288
1995,55568
1996,56720
1997,58168
1998,59877
1999,60986
2000,62130
2001,63614
2002,64838
2003,66290
2004,68137
2005,70058
2006,72591
2007,74350
2008,76091
2009,77957
2010,79665
2011,81379
2012,82788
2013,83780
2014,84309
2015,84732
2016,84854
2017,85183
2018,85459
2019,86087
2020,86835
2021,87840
1950,84134
1951,85111
1952,86251
1953,88213
1954,89615
1955,93107
1956,96550
1957,99844
1958,102798
1959,105234
1960,108113
1961,108451
1962,107500
1963,106386
1964,101664
1965,96613
1966,93912
1967,93036
1968,91051
1969,91242
1970,92679
1971,93994
1972,94247
1973,93608
1974,93158
1975,94317
1976,94601
1977,94876
1978,96588
1979,97995
1980,99538
1981,100660
1982,101876
1983,103635
1984,106016
1985,107014
1986,106026
1987,102374
1988,100473
1989,100500
1990,100547
1991,95678
1992,87686
1993,80546
1994,74285
1995,69612
1996,65420
1997,61641
1998,57893
1999,54338
2000,51894
2001,49423
2002,48255
2003,47638
2004,48941
2005,49647
2006,49960
2007,51480
2008,54168
2009,57275
2010,58164
2011,57277
2012,56664
2013,57392
2014,58418
2015,59661
2016,58419
2017,56081
2018,54333
2019,50739
2020,48839
2021,50430
1950,1156316
1951,1130516
1952,1116427
1953,1110554
1954,1113201
1955,1111435
1956,1134790
1957,1166288
1958,1190828
1959,1244641
1960,1271455
1961,1318885
1962,1333222
1963,1355348
1964,1349262
1965,1323548
1966,1311065
1967,1269417
1968,1208817
1969,1133325
1970,1050533
1971,999693
1972,897022
1973,815019
1974,791762
1975,779623
1976,789083
1977,798837
1978,804394
1979,816977
1980,848021
1981,850486
1982,843892
1983,821941
1984,811281
1985,818211
1986,847945
1987,874973
1988,895809
1989,893661
1990,893874
1991,835823
1992,810442
1993,795062
1994,765691
1995,759289
1996,787149
1997,802831
1998,783731
1999,769795
2000,758949
2001,726161
2002,707832
2003,694477
2004,690997
2005,673191
2006,662205
2007,673254
2008,673997
2009,660403
2010,675482
2011,673178
2012,684523
2013,691529
2014,720156
2015,739919
2016,784473
2017,783444
2018,779291
2019,771867
2020,760378
2021,763168
1950,237147
1951,250257
1952,262962
1953,275768
1954,287074
1955,298295
1956,309201
1957,318931
1958,328331
1959,336664
1960,343974
1961,352070
1962,359214
1963,366559
1964,370568
1965,375735
1966,380674
1967,388970
1968,398254
1969,409274
1970,418396
1971,427915
1972,435994
1973,445569
1974,454816
1975,463679
1976,472652
1977,483753
1978,498269
1979,514004
1980,532322
1981,549319
1982,563236
1983,581871
1984,601643
1985,607581
1986,613495
1987,617716
1988,618235
1989,619580
1990,624635
1991,628809
1992,630211
1993,631920
1994,627311
1995,631591
1996,632621
1997,644464
1998,660465
1999,679681
2000,705624
2001,719162
2002,733089
2003,744853
2004,756056
2005,784717
2006,787770
2007,795211
2008,807389
2009,822721
2010,844348
2011,863884
2012,883449
2013,895716
2014,897736
2015,915988
2016,901955
2017,875587
2018,896502
2019,901018
2020,902298
2021,904679
1950,469
1951,458
1952,455
1953,448
1954,439
1955,432
1956,443
1957,453
1958,460
1959,462
1960,475
1961,488
1962,525
1963,592
1964,573
1965,613
1966,552
1967,505
1968,516
1969,536
1970,557
1971,566
1972,545
1973,534
1974,528
1975,529
1976,534
1977,548
1978,565
1979,590
1980,617
1981,611
1982,597
1983,569
1984,546
1985,526
1986,510
1987,497
1988,486
1989,480
1990,477
1991,474
1992,473
1993,477
1994,482
1995,485
1996,483
1997,446
1998,415
1999,387
2000,362
2001,338
2002,311
2003,313
2004,319
2005,326
2006,333
2007,341
2008,350
2009,360
2010,372
2011,382
2012,389
2013,381
2014,413
2015,443
2016,388
2017,375
2018,367
2019,360
2020,355
2021,350
1950,153300
1951,152415
1952,153247
1953,155998
1954,160711
1955,165630
1956,167319
1957,166943
1958,167474
1959,170074
1960,168206
1961,163177
1962,161452
1963,158095
1964,158262
1965,156154
1966,156153
1967,157036
1968,153499
1969,148982
1970,146828
1971,143081
1972,141239
1973,139909
1974,144046
1975,144642
1976,145827
1977,144953
1978,146296
1979,147111
1980,145799
1981,140531
1982,137019
1983,132662
1984,127016
1985,120830
1986,116852
1987,113530
1988,112149
1989,110084
1990,109946
1991,110354
1992,110935
1993,110570
1994,110927
1995,110662
1996,110672
1997,110152
1998,109292
1999,108968
2000,110427
2001,109777
2002,109807
2003,109203
2004,109634
2005,110330
2006,111652
2007,112239
2008,114808
2009,114311
2010,110900
2011,104474
2012,98721
2013,93249
2014,90589
2015,89377
2016,88820
2017,85894
2018,83495
2019,81148
2020,81073
2021,79072
1950,999
1951,982
1952,1044
1953,1093
1954,1149
1955,1206
1956,1254
1957,1315
1958,1379
1959,1454
1960,1527
1961,1575
1962,1589
1963,1594
1964,1606
1965,1611
1966,1563
1967,1512
1968,1420
1969,1288
1970,1146
1971,1063
1972,998
1973,932
1974,871
1975,858
1976,866
1977,895
1978,899
1979,931
1980,998
1981,1032
1982,1041
1983,1033
1984,1068
1985,1112
1986,1102
1987,1124
1988,1185
1989,1213
1990,1234
1991,1213
1992,1218
1993,1187
1994,1143
1995,1097
1996,1067
1997,1056
1998,988
1999,938
2000,908
2001,925
2002,927
2003,899
2004,890
2005,877
2006,853
2007,856
2008,862
2009,875
2010,850
2011,819
2012,799
2013,807
2014,815
2015,836
2016,841
2017,844
2018,836
2019,828
2020,821
2021,810
1950,2749
1951,2867
1952,3114
1953,3349
1954,3570
1955,3786
1956,3966
1957,4136
1958,4237
1959,4290
1960,4277
1961,4188
1962,4041
1963,3861
1964,3656
1965,3457
1966,3267
1967,3112
1968,2978
1969,2889
1970,2801
1971,2815
1972,2838
1973,2867
1974,2880
1975,2850
1976,2802
1977,2748
1978,2716
1979,2728
1980,2699
1981,2427
1982,2598
1983,2791
1984,2779
1985,3021
1986,3165
1987,3202
1988,2874
1989,2928
1990,2799
1991,2774
1992,2643
1993,2475
1994,2406
1995,2352
1996,2330
1997,2311
1998,2035
1999,1932
2000,1958
2001,1907
2002,1890
2003,1874
2004,1891
2005,1916
2006,1945
2007,1975
2008,2004
2009,2029
2010,2049
2011,2062
2012,2076
2013,2088
2014,2095
2015,2096
2016,2091
2017,2080
2018,2063
2019,2040
2020,2014
2021,1990
1950,8634
1951,8637
1952,8822
1953,9027
1954,9222
1955,9472
1956,9527
1957,9551
1958,9806
1959,10020
1960,10461
1961,10571
1962,10969
1963,10716
1964,10486
1965,10472
1966,10437
1967,10271
1968,10115
1969,9934
1970,9720
1971,9421
1972,9103
1973,8829
1974,8573
1975,8273
1976,7798
1977,7294
1978,6847
1979,6612
1980,6576
1981,6573
1982,6609
1983,6750
1984,6907
1985,7105
1986,7186
1987,7230
1988,7311
1989,7445
1990,7537
1991,7592
1992,7620
1993,7545
1994,7525
1995,7533
1996,7567
1997,7614
1998,7637
1999,7679
2000,7629
2001,7482
2002,7218
2003,6974
2004,6705
2005,6520
2006,6199
2007,6030
2008,5841
2009,5664
2010,5612
2011,5548
2012,5461
2013,5339
2014,5168
2015,4959
2016,4757
2017,4541
2018,4450
2019,4426
2020,4417
2021,4467
1950,1773
1951,1812
1952,1903
1953,1938
1954,1976
1955,2109
1956,2161
1957,2322
1958,2267
1959,2317
1960,2399
1961,2492
1962,2569
1963,2505
1964,2529
1965,2549
1966,2706
1967,2630
1968,2643
1969,2839
1970,2878
1971,2906
1972,2936
1973,2978
1974,3080
1975,3200
1976,3301
1977,3262
1978,3126
1979,3158
1980,3222
1981,3187
1982,3165
1983,3375
1984,3283
1985,3452
1986,3586
1987,3605
1988,3609
1989,3650
1990,3683
1991,3700
1992,3711
1993,3723
1994,3742
1995,3760
1996,3791
1997,3816
1998,3851
1999,3849
2000,3847
2001,3761
2002,3406
2003,3467
2004,3594
2005,3379
2006,3567
2007,3648
2008,3607
2009,3546
2010,3514
2011,3345
2012,3586
2013,3268
2014,3305
2015,3234
2016,3237
2017,3050
2018,2886
2019,2818
2020,2771
2021,2795
1950,158460
1951,163948
1952,168695
1953,173265
1954,177308
1955,180890
1956,184574
1957,188143
1958,191017
1959,194063
1960,197532
1961,201611
1962,205257
1963,210145
1964,214971
1965,220025
1966,226367
1967,231533
1968,236742
1969,242049
1970,246722
1971,252161
1972,257096
1973,262547
1974,268743
1975,274281
1976,279779
1977,284869
1978,290495
1979,296550
1980,303970
1981,309462
1982,314310
1983,318526
1984,318958
1985,321250
1986,327433
1987,335675
1988,345051
1989,352014
1990,356502
1991,361429
1992,368687
1993,375056
1994,382238
1995,387863
1996,391754
1997,395916
1998,400984
1999,401118
2000,406154
2001,411106
2002,409264
2003,406252
2004,404259
2005,400462
2006,398396
2007,400490
2008,398030
2009,398938
2010,400830
2011,403938
2012,407582
2013,406634
2014,410334
2015,414042
2016,416628
2017,411557
2018,403834
2019,391582
2020,378935
2021,372146
1950,770
1951,746
1952,515
1953,497
1954,487
1955,491
1956,510
1957,537
1958,563
1959,590
1960,617
1961,639
1962,655
1963,671
1964,681
1965,676
1966,669
1967,671
1968,683
1969,700
1970,707
1971,706
1972,704
1973,693
1974,689
1975,684
1976,685
1977,667
1978,648
1979,635
1980,622
1981,606
1982,615
1983,627
1984,634
1985,639
1986,643
1987,658
1988,678
1989,700
1990,722
1991,738
1992,745
1993,736
1994,721
1995,702
1996,688
1997,678
1998,666
1999,651
2000,636
2001,620
2002,609
2003,608
2004,605
2005,608
2006,610
2007,610
2008,610
2009,608
2010,604
2011,598
2012,595
2013,591
2014,585
2015,579
2016,572
2017,553
2018,556
2019,573
2020,598
2021,613
1950,134500
1951,136873
1952,139407
1953,141912
1954,144541
1955,147096
1956,149723
1957,152424
1958,155105
1959,157801
1960,160709
1961,163501
1962,166378
1963,169120
1964,171988
1965,174860
1966,177845
1967,180958
1968,184349
1969,187951
1970,191770
1971,195470
1972,198891
1973,202377
1974,205433
1975,208569
1976,211726
1977,215532
1978,219592
1979,224969
1980,228631
1981,232977
1982,238663
1983,244059
1984,249769
1985,256097
1986,263201
1987,271085
1988,278263
1989,285202
1990,291868
1991,305389
1992,315984
1993,322180
1994,328138
1995,331437
1996,339895
1997,345248
1998,341967
1999,346360
2000,348803
2001,349494
2002,348490
2003,352766
2004,359010
2005,366366
2006,372509
2007,380736
2008,389586
2009,398892
2010,405021
2011,410166
2012,415399
2013,422211
2014,429939
2015,440910
2016,446491
2017,448594
2018,451296
2019,456433
2020,461563
2021,465954
1950,25147
1951,25312
1952,25411
1953,25519
1954,25637
1955,25767
1956,25911
1957,26070
1958,26245
1959,26436
1960,26641
1961,26856
1962,26869
1963,26816
1964,26564
1965,24775
1966,23325
1967,22666
1968,23138
1969,23793
1970,23336
1971,24001
1972,23496
1973,24050
1974,24704
1975,27409
1976,30301
1977,33340
1978,36476
1979,39654
1980,40808
1981,41485
1982,42066
1983,42518
1984,42845
1985,43072
1986,43241
1987,43411
1988,43628
1989,43912
1990,43465
1991,43810
1992,45034
1993,46385
1994,47891
1995,48937
1996,49741
1997,50580
1998,51132
1999,51721
2000,52459
2001,53115
2002,54462
2003,55446
2004,56225
2005,57169
2006,58117
2007,59432
2008,59612
2009,59773
2010,60273
2011,61675
2012,62749
2013,63631
2014,63609
2015,63567
2016,63320
2017,62588
2018,62889
2019,63263
2020,63738
2021,64086
1950,17616
1951,18270
1952,19241
1953,20126
1954,20953
1955,21679
1956,22347
1957,22959
1958,23530
1959,23997
1960,24409
1961,24708
1962,24962
1963,25177
1964,25364
1965,25530
1966,25636
1967,25655
1968,25581
1969,25569
1970,25529
1971,25261
1972,25207
1973,25173
1974,24945
1975,24724
1976,24578
1977,24469
1978,24423
1979,24384
1980,24178
1981,24518
1982,24658
1983,24650
1984,24463
1985,24121
1986,23712
1987,23328
1988,22984
1989,22557
1990,22078
1991,21597
1992,21599
1993,21556
1994,21461
1995,21334
1996,21096
1997,20825
1998,20526
1999,20151
2000,19729
2001,19269
2002,18793
2003,18324
2004,17960
2005,17616
2006,17294
2007,17017
2008,16766
2009,16554
2010,16389
2011,16247
2012,16104
2013,16146
2014,16164
2015,16160
2016,16113
2017,16059
2018,16003
2019,16898
2020,16309
2021,16375
1950,150734
1951,152157
1952,153979
1953,155671
1954,157473
1955,159775
1956,162003
1957,163400
1958,166391
1959,168709
1960,170338
1961,172504
1962,174647
1963,176638
1964,178706
1965,179728
1966,180971
1967,182522
1968,184075
1969,185823
1970,187511
1971,188990
1972,190574
1973,191969
1974,196800
1975,201835
1976,206878
1977,212160
1978,216635
1979,221585
1980,226071
1981,231286
1982,236685
1983,239407
1984,243158
1985,247975
1986,252364
1987,256542
1988,259689
1989,262996
1990,265506
1991,262364
1992,262426
1993,261704
1994,261535
1995,261545
1996,262189
1997,262889
1998,262929
1999,263856
2000,266613
2001,264216
2002,263133
2003,263901
2004,264451
2005,264799
2006,265526
2007,265822
2008,266887
2009,269122
2010,271333
2011,271205
2012,269226
2013,268106
2014,268767
2015,269909
2016,271005
2017,271823
2018,271104
2019,271669
2020,271045
2021,269377
1950,16030247
1951,15955949
1952,15937183
1953,15919701
1954,16033123
1955,16136617
1956,16284832
1957,16432650
1958,16489832
1959,16611846
1960,16621047
1961,16701980
1962,16633611
1963,16725627
1964,16768855
1965,16408936
1966,15710554
1967,16205654
1968,16013034
1969,15997455
1970,16082835
1971,15959165
1972,15493078
1973,15223724
1974,15174542
1975,14874092
1976,14737753
1977,14712016
1978,14626146
1979,14759288
1980,14862830
1981,14735171
1982,14703012
1983,14494250
1984,14423581
1985,14397364
1986,14289391
1987,14335526
1988,14508218
1989,14529522
1990,14646249
1991,14465431
1992,14307478
1993,14039364
1994,13885387
1995,13648901
1996,13615748
1997,13531925
1998,13460866
1999,13409260
2000,13532358
2001,13294759
2002,13181152
2003,13212101
2004,13264185
2005,13282472
2006,13551878
2007,13777992
2008,13907841
2009,13755138
2010,13677805
2011,13530516
2012,13525059
2013,13335304
2014,13368136
2015,13311650
2016,13215227
2017,12923664
2018,12663082
2019,12429845
2020,12214173
2021,12183257
1950,81831
1951,84046
1952,86323
1953,88566
1954,90814
1955,92985
1956,95117
1957,97150
1958,99155
1959,101154
1960,103177
1961,105284
1962,107359
1963,109648
1964,112158
1965,114894
1966,117006
1967,119340
1968,122334
1969,125327
1970,128600
1971,132414
1972,136374
1973,139778
1974,143021
1975,147075
1976,151005
1977,154203
1978,157699
1979,161313
1980,164408
1981,167285
1982,169769
1983,172560
1984,174534
1985,177054
1986,179773
1987,182392
1988,185228
1989,188829
1990,192524
1991,196365
1992,200616
1993,204886
1994,208236
1995,210816
1996,213999
1997,217000
1998,221199
1999,224124
2000,225476
2001,225725
2002,225144
2003,224103
2004,222990
2005,221828
2006,220644
2007,219089
2008,217761
2009,216190
2010,214642
2011,213180
2012,212054
2013,211261
2014,211139
2015,211541
2016,212388
2017,213413
2018,214499
2019,215469
2020,216208
2021,216645
1950,81673
1951,84001
1952,86343
1953,88974
1954,91884
1955,94069
1956,97498
1957,101404
1958,104917
1959,108310
1960,110543
1961,112705
1962,110477
1963,107210
1964,103808
1965,100784
1966,91494
1967,84298
1968,79473
1969,79932
1970,77277
1971,78561
1972,79885
1973,82402
1974,83795
1975,81522
1976,81779
1977,83931
1978,84752
1979,76685
1980,77704
1981,85492
1982,86218
1983,84509
1984,79370
1985,78079
1986,74000
1987,73000
1988,78675
1989,75341
1990,75051
1991,76639
1992,80775
1993,80817
1994,81784
1995,78425
1996,72524
1997,67978
1998,61960
1999,60075
2000,62726
2001,57563
2002,56570
2003,54276
2004,54755
2005,57204
2006,59078
2007,61975
2008,63782
2009,63978
2010,68926
2011,70749
2012,76262
2013,80810
2014,76793
2015,78794
2016,77794
2017,71585
2018,66754
2019,62565
2020,51511
2021,42908
1950,196222
1951,191458
1952,187439
1953,207250
1954,222257
1955,210477
1956,194221
1957,166371
1958,156585
1959,150071
1960,146313
1961,140247
1962,130409
1963,131910
1964,131665
1965,132494
1966,137806
1967,147715
1968,153027
1969,153326
1970,151182
1971,149963
1972,152325
1973,156690
1974,186955
1975,192499
1976,184101
1977,177142
1978,166958
1979,159359
1980,148822
1981,142345
1982,132993
1983,126403
1984,124481
1985,128280
1986,126376
1987,123794
1988,122047
1989,122263
1990,125364
1991,125460
1992,121461
1993,117064
1994,115495
1995,111861
1996,104969
1997,100240
1998,97190
1999,94854
2000,97223
2001,96849
2002,96673
2003,94677
2004,95533
2005,97298
2006,99404
2007,97797
2008,98573
2009,96009
2010,90495
2011,88502
2012,89880
2013,89772
2014,92829
2015,92141
2016,95053
2017,94208
